AX,AY,AZ
-0.50,-0.54,-0.65
-0.49,-0.54,-0.64
-0.49,-0.54,-0.63
-0.49,-0.54,-0.64
-0.48,-0.54,-0.65
-0.49,-0.55,-0.65
-0.52,-0.54,-0.65
-0.54,-0.54,-0.65
-0.53,-0.54,-0.65
-0.52,-0.54,-0.65
-0.51,-0.54,-0.66
-0.50,-0.54,-0.66
-0.49,-0.54,-0.67
-0.49,-0.54,-0.65
-0.48,-0.54,-0.63
-0.48,-0.54,-0.62
-0.48,-0.54,-0.63
-0.49,-0.54,-0.64
-0.49,-0.55,-0.64
-0.51,-0.54,-0.64
-0.52,-0.53,-0.65
-0.50,-0.54,-0.65
-0.51,-0.55,-0.64
-0.52,-0.55,-0.64
-0.52,-0.54,-0.66
-0.50,-0.54,-0.66
-0.50,-0.55,-0.65
-0.51,-0.55,-0.63
-0.52,-0.54,-0.63
-0.49,-0.55,-0.65
-0.48,-0.55,-0.65
-0.50,-0.54,-0.64
-0.52,-0.54,-0.63
-0.53,-0.54,-0.65
-0.51,-0.55,-0.66
-0.50,-0.54,-0.65
-0.50,-0.54,-0.63
-0.50,-0.55,-0.64
-0.50,-0.55,-0.65
-0.51,-0.55,-0.65
-0.50,-0.54,-0.64
-0.48,-0.55,-0.63
-0.49,-0.55,-0.63
-0.50,-0.54,-0.64
-0.51,-0.55,-0.65
-0.51,-0.55,-0.66
-0.51,-0.54,-0.66
-0.51,-0.54,-0.65
-0.50,-0.55,-0.64
-0.51,-0.54,-0.64
-0.52,-0.54,-0.64
-0.52,-0.54,-0.64
-0.51,-0.54,-0.64
-0.49,-0.55,-0.64
-0.50,-0.54,-0.63
-0.51,-0.54,-0.63
-0.51,-0.54,-0.63
-0.50,-0.54,-0.62
-0.50,-0.55,-0.62
-0.51,-0.54,-0.64
-0.50,-0.54,-0.66
-0.50,-0.55,-0.66
-0.51,-0.55,-0.65
-0.52,-0.54,-0.65
-0.51,-0.55,-0.65
-0.50,-0.54,-0.65
-0.49,-0.55,-0.65
-0.50,-0.55,-0.64
-0.51,-0.55,-0.65
-0.52,-0.55,-0.65
-0.51,-0.55,-0.65
-0.50,-0.55,-0.64
-0.49,-0.55,-0.63
-0.50,-0.55,-0.63
-0.51,-0.54,-0.64
-0.49,-0.55,-0.65
-0.50,-0.55,-0.65
-0.52,-0.54,-0.63
-0.52,-0.54,-0.63
-0.50,-0.54,-0.64
-0.50,-0.54,-0.65
-0.50,-0.54,-0.66
-0.51,-0.55,-0.64
-0.51,-0.55,-0.63
-0.49,-0.55,-0.63
-0.49,-0.55,-0.63
-0.50,-0.55,-0.64
-0.51,-0.54,-0.65
-0.52,-0.55,-0.65
-0.52,-0.54,-0.64
-0.51,-0.55,-0.64
-0.51,-0.55,-0.65
-0.52,-0.55,-0.65
-0.52,-0.54,-0.66
-0.49,-0.54,-0.66
-0.48,-0.55,-0.65
-0.50,-0.54,-0.64
-0.51,-0.54,-0.64
-0.49,-0.54,-0.64
-0.47,-0.55,-0.64
-0.50,-0.55,-0.63
-0.52,-0.54,-0.62
-0.52,-0.54,-0.62
-0.50,-0.55,-0.64
-0.49,-0.55,-0.65
-0.50,-0.55,-0.65
-0.52,-0.55,-0.65
-0.53,-0.55,-0.65
-0.52,-0.55,-0.65
-0.50,-0.55,-0.64
-0.50,-0.55,-0.64
-0.51,-0.55,-0.63
-0.51,-0.55,-0.63
-0.50,-0.54,-0.64
-0.48,-0.55,-0.66
-0.47,-0.55,-0.65
-0.52,-0.55,-0.62
-0.53,-0.54,-0.62
-0.50,-0.55,-0.65
-0.49,-0.55,-0.66
-0.50,-0.55,-0.65
-0.51,-0.55,-0.63
-0.51,-0.55,-0.63
-0.51,-0.55,-0.64
-0.50,-0.55,-0.65
-0.50,-0.55,-0.65
-0.50,-0.56,-0.64
-0.51,-0.55,-0.63
-0.51,-0.54,-0.63
-0.50,-0.55,-0.64
-0.49,-0.55,-0.65
-0.50,-0.55,-0.64
-0.52,-0.54,-0.64
-0.51,-0.55,-0.64
-0.50,-0.55,-0.64
-0.49,-0.55,-0.64
-0.49,-0.55,-0.64
-0.50,-0.55,-0.63
-0.51,-0.55,-0.62
-0.51,-0.55,-0.64
-0.50,-0.55,-0.65
-0.51,-0.55,-0.65
-0.52,-0.55,-0.65
-0.50,-0.55,-0.64
-0.50,-0.55,-0.63
-0.51,-0.55,-0.62
-0.51,-0.54,-0.64
-0.49,-0.54,-0.66
-0.49,-0.55,-0.66
-0.52,-0.55,-0.65
-0.52,-0.55,-0.63
-0.50,-0.55,-0.63
-0.50,-0.55,-0.64
-0.51,-0.55,-0.64
-0.51,-0.55,-0.64
-0.50,-0.55,-0.64
-0.49,-0.55,-0.64
-0.51,-0.55,-0.64
-0.52,-0.55,-0.64
-0.51,-0.54,-0.64
-0.50,-0.55,-0.63
-0.51,-0.55,-0.63
-0.51,-0.55,-0.63
-0.50,-0.55,-0.64
-0.50,-0.55,-0.64
-0.51,-0.55,-0.64
-0.50,-0.55,-0.65
-0.51,-0.55,-0.66
-0.52,-0.55,-0.64
-0.50,-0.55,-0.63
-0.49,-0.55,-0.63
-0.49,-0.55,-0.64
-0.50,-0.55,-0.64
-0.51,-0.55,-0.64
-0.51,-0.55,-0.64
-0.52,-0.55,-0.64
-0.54,-0.55,-0.65
-0.53,-0.55,-0.65
-0.51,-0.55,-0.64
-0.50,-0.55,-0.63
-0.49,-0.54,-0.63
-0.48,-0.54,-0.64
-0.49,-0.55,-0.64
-0.51,-0.55,-0.63
-0.50,-0.54,-0.63
-0.49,-0.55,-0.63
-0.51,-0.55,-0.63
-0.52,-0.55,-0.64
-0.52,-0.55,-0.64
-0.50,-0.55,-0.64
-0.50,-0.55,-0.63
-0.51,-0.55,-0.63
-0.50,-0.55,-0.63
-0.49,-0.56,-0.64
-0.51,-0.55,-0.65
-0.52,-0.55,-0.65
-0.52,-0.55,-0.65
-0.51,-0.55,-0.65
-0.51,-0.55,-0.65
-0.50,-0.55,-0.64
-0.50,-0.55,-0.62
-0.50,-0.55,-0.62
-0.51,-0.55,-0.64
-0.52,-0.55,-0.65
-0.51,-0.55,-0.64
-0.51,-0.55,-0.63
-0.50,-0.55,-0.62
-0.50,-0.55,-0.63
-0.51,-0.55,-0.63
-0.50,-0.55,-0.64
-0.49,-0.55,-0.64
-0.50,-0.55,-0.63
-0.51,-0.54,-0.63
-0.50,-0.56,-0.63
-0.52,-0.55,-0.65
-0.53,-0.55,-0.66
-0.52,-0.55,-0.64
-0.51,-0.55,-0.63
-0.50,-0.55,-0.62
-0.49,-0.54,-0.63
-0.49,-0.56,-0.63
-0.50,-0.55,-0.65
-0.50,-0.55,-0.65
-0.51,-0.55,-0.64
-0.50,-0.55,-0.63
-0.51,-0.56,-0.63
-0.51,-0.55,-0.64
-0.50,-0.55,-0.64
-0.51,-0.55,-0.63
-0.52,-0.55,-0.63
-0.51,-0.55,-0.64
-0.51,-0.56,-0.64
-0.52,-0.55,-0.63
-0.52,-0.55,-0.62
-0.50,-0.55,-0.63
-0.49,-0.56,-0.64
-0.51,-0.55,-0.63
-0.52,-0.55,-0.64
-0.51,-0.56,-0.64
-0.51,-0.55,-0.64
-0.51,-0.56,-0.63
-0.52,-0.55,-0.63
-0.51,-0.55,-0.63
-0.50,-0.55,-0.63
-0.49,-0.56,-0.63
-0.50,-0.56,-0.63
-0.52,-0.56,-0.63
-0.53,-0.55,-0.63
-0.52,-0.55,-0.63
-0.51,-0.56,-0.63
-0.51,-0.55,-0.63
-0.50,-0.55,-0.64
-0.50,-0.55,-0.63
-0.52,-0.56,-0.62
-0.53,-0.55,-0.63
-0.51,-0.55,-0.63
-0.49,-0.56,-0.64
-0.50,-0.56,-0.62
-0.52,-0.55,-0.62
-0.52,-0.55,-0.63
-0.51,-0.56,-0.64
-0.51,-0.55,-0.64
-0.51,-0.56,-0.63
-0.53,-0.56,-0.63
-0.55,-0.56,-0.63
-0.53,-0.55,-0.64
-0.51,-0.56,-0.65
-0.51,-0.56,-0.64
-0.51,-0.55,-0.63
-0.50,-0.55,-0.62
-0.48,-0.55,-0.61
-0.48,-0.55,-0.61
-0.50,-0.56,-0.61
-0.52,-0.56,-0.62
-0.52,-0.55,-0.63
-0.51,-0.55,-0.62
-0.51,-0.56,-0.62
-0.51,-0.55,-0.62
-0.52,-0.55,-0.63
-0.51,-0.56,-0.63
-0.52,-0.56,-0.63
-0.52,-0.56,-0.64
-0.52,-0.56,-0.64
-0.53,-0.56,-0.63
-0.52,-0.56,-0.62
-0.50,-0.56,-0.62
-0.50,-0.56,-0.61
-0.51,-0.56,-0.62
-0.51,-0.56,-0.63
-0.52,-0.55,-0.63
-0.53,-0.56,-0.63
-0.53,-0.56,-0.63
-0.52,-0.56,-0.62
-0.50,-0.56,-0.62
-0.50,-0.56,-0.62
-0.51,-0.55,-0.62
-0.51,-0.56,-0.63
-0.50,-0.56,-0.63
-0.51,-0.56,-0.62
-0.52,-0.56,-0.62
-0.51,-0.56,-0.63
-0.52,-0.56,-0.62
-0.52,-0.56,-0.62
-0.51,-0.56,-0.62
-0.52,-0.56,-0.62
-0.52,-0.55,-0.63
-0.51,-0.56,-0.63
-0.50,-0.56,-0.62
-0.51,-0.55,-0.61
-0.50,-0.56,-0.62
-0.50,-0.56,-0.63
-0.52,-0.56,-0.63
-0.52,-0.56,-0.63
-0.51,-0.56,-0.62
-0.51,-0.56,-0.61
-0.52,-0.56,-0.61
-0.52,-0.56,-0.63
-0.52,-0.56,-0.64
-0.52,-0.56,-0.62
-0.51,-0.56,-0.61
-0.50,-0.56,-0.61
-0.50,-0.56,-0.62
-0.51,-0.56,-0.63
-0.51,-0.56,-0.63
-0.52,-0.56,-0.62
-0.51,-0.56,-0.63
-0.51,-0.56,-0.63
-0.52,-0.56,-0.62
-0.52,-0.56,-0.62
-0.50,-0.56,-0.62
-0.51,-0.56,-0.62
-0.53,-0.56,-0.62
-0.52,-0.56,-0.62
-0.51,-0.56,-0.62
-0.51,-0.56,-0.62
-0.50,-0.56,-0.62
-0.51,-0.56,-0.62
-0.53,-0.56,-0.62
-0.52,-0.56,-0.62
-0.51,-0.56,-0.63
-0.51,-0.56,-0.63
-0.52,-0.56,-0.62
-0.51,-0.56,-0.62
-0.50,-0.56,-0.61
-0.51,-0.56,-0.62
-0.51,-0.56,-0.63
-0.52,-0.56,-0.64
-0.53,-0.56,-0.63
-0.53,-0.56,-0.63
-0.52,-0.56,-0.63
-0.51,-0.56,-0.63
-0.51,-0.56,-0.63
-0.51,-0.56,-0.62
-0.51,-0.56,-0.62
-0.49,-0.56,-0.61
-0.48,-0.56,-0.61
-0.50,-0.56,-0.61
-0.53,-0.55,-0.61
-0.52,-0.55,-0.62
-0.51,-0.56,-0.63
-0.52,-0.56,-0.62
-0.53,-0.56,-0.62
-0.52,-0.56,-0.62
-0.51,-0.56,-0.62
-0.51,-0.56,-0.63
-0.51,-0.56,-0.63
-0.51,-0.56,-0.62
-0.52,-0.56,-0.61
-0.52,-0.56,-0.63
-0.51,-0.56,-0.64
-0.52,-0.56,-0.63
-0.53,-0.55,-0.62
-0.51,-0.55,-0.62
-0.50,-0.56,-0.62
-0.53,-0.56,-0.61
-0.54,-0.56,-0.61
-0.52,-0.56,-0.62
-0.50,-0.56,-0.62
-0.50,-0.55,-0.62
-0.51,-0.56,-0.62
-0.51,-0.56,-0.62
-0.52,-0.56,-0.63
-0.50,-0.56,-0.63
-0.50,-0.56,-0.63
-0.52,-0.56,-0.62
-0.53,-0.56,-0.62
-0.53,-0.56,-0.62
-0.52,-0.56,-0.63
-0.52,-0.56,-0.62
-0.52,-0.56,-0.61
-0.51,-0.56,-0.62
-0.51,-0.56,-0.63
-0.51,-0.56,-0.63
-0.52,-0.56,-0.63
-0.51,-0.56,-0.62
